#  t,  x,  z,  vx,  vz
1.590000 27.539608 3.590220 17.320508 -5.582000
1.600000 27.712813 3.534400 17.320508 -5.680000
1.610000 27.886018 3.477600 17.320508 -5.778000
1.620000 28.059223 3.419820 17.320508 -5.876000
1.630000 28.232428 3.361060 17.320508 -5.974000
1.640000 28.405633 3.301320 17.320508 -6.072000
1.650000 28.578838 3.240600 17.320508 -6.170000
1.660000 28.752043 3.178900 17.320508 -6.268000
1.670000 28.925248 3.116220 17.320508 -6.366000
1.680000 29.098454 3.052560 17.320508 -6.464000
1.690000 29.271659 2.987920 17.320508 -6.562000
1.700000 29.444864 2.922300 17.320508 -6.660000
1.710000 29.618069 2.855700 17.320508 -6.758000
1.720000 29.791274 2.788120 17.320508 -6.856000
1.730000 29.964479 2.719560 17.320508 -6.954000
1.740000 30.137684 2.650020 17.320508 -7.052000
1.750000 30.310889 2.579500 17.320508 -7.150000
1.760000 30.484094 2.508000 17.320508 -7.248000
1.770000 30.657299 2.435520 17.320508 -7.346000
1.780000 30.830504 2.362060 17.320508 -7.444000
1.790000 31.003709 2.287620 17.320508 -7.542000
1.800000 31.176915 2.212200 17.320508 -7.640000
1.810000 31.350120 2.135800 17.320508 -7.738000
1.820000 31.523325 2.058420 17.320508 -7.836000
1.830000 31.696530 1.980060 17.320508 -7.934000
1.840000 31.869735 1.900720 17.320508 -8.032000
1.850000 32.042940 1.820400 17.320508 -8.130000
1.860000 32.216145 1.739100 17.320508 -8.228000
1.870000 32.389350 1.656820 17.320508 -8.326000
1.880000 32.562555 1.573560 17.320508 -8.424000
1.890000 32.735760 1.489320 17.320508 -8.522000
1.900000 32.908965 1.404100 17.320508 -8.620000
1.910000 33.082170 1.317900 17.320508 -8.718000
1.920000 33.255376 1.230720 17.320508 -8.816000
1.930000 33.428581 1.142560 17.320508 -8.914000
1.940000 33.601786 1.053420 17.320508 -9.012000
1.950000 33.774991 0.963300 17.320508 -9.110000
1.960000 33.948196 0.872200 17.320508 -9.208000
1.970000 34.121401 0.780120 17.320508 -9.306000
1.980000 34.294606 0.687060 17.320508 -9.404000
1.990000 34.467811 0.593020 17.320508 -9.502000
